ticker;quant;price;dy;payout;pvp;lpa;vpa;roe;cagr;is_fii
KLBN4;160;4.04;8.26;0;3.22;0.2286445;1.263975155279503;0;0;False
GRND3;90;4.75;35.63;0;1.06;0.8045876;4.509433962264151;0;0;False
